ProductKey,ProductCategoryKey,ProductSKU,ProductCost,ProductPrice
250,2,FR-R92R-56,7.479.682,12.634.598
253,2,FR-R38B-58,1.761.997,2.976.346
256,2,FR-R38B-60,1.761.997,2.976.346
259,2,FR-R38B-62,1.761.997,2.976.346
262,2,FR-R38R-44,1.814.857,3.065.636
264,2,FR-R38R-48,1.814.857,3.065.636
266,2,FR-R38R-52,1.814.857,3.065.636
268,2,FR-R38R-58,1.814.857,3.065.636
270,2,FR-R38R-60,1.814.857,3.065.636
272,2,FR-R38R-62,1.814.857,3.065.636
274,2,FR-R72R-44,3.521.394,594.83
275,2,FR-R72R-48,3.521.394,594.83
276,2,FR-R72R-52,3.521.394,594.83
277,2,FR-R72R-58,3.521.394,594.83
278,2,FR-R72R-60,3.521.394,594.83
279,2,FR-R38B-44,1.761.997,2.976.346
282,2,FR-R38B-48,1.761.997,2.976.346
285,2,FR-R38B-52,1.761.997,2.976.346
417,2,FR-R72Y-38,3.001.188,5.407.545
429,2,FR-R72Y-40,3.001.188,5.407.545
431,2,FR-R72Y-42,3.001.188,5.407.545
433,2,FR-R72Y-44,3.001.188,5.407.545
435,2,FR-R72Y-48,3.001.188,5.407.545
437,2,FR-R92B-62,7.222.568,13.013.636
439,2,FR-R92B-44,7.222.568,13.013.636
441,2,FR-R92B-48,7.222.568,13.013.636
443,2,FR-R92B-52,7.222.568,13.013.636
515,2,SE-M236,12.0413,27.12
516,2,SE-M798,173.782,39.14
517,2,SE-M940,233.722,52.64
518,2,SE-R581,12.0413,27.12
519,2,SE-R908,173.782,39.14
520,2,SE-R995,233.722,52.64
521,2,SE-T312,12.0413,27.12
522,2,SE-T762,173.782,39.14
523,2,SE-T924,233.722,52.64
492,2,FR-T98Y-60,6.017.437,1003.91
493,2,FR-T67Y-62,1.998.519,333.42
494,2,FR-T98Y-46,6.017.437,1003.91
495,2,FR-T98Y-50,6.017.437,1003.91
496,2,FR-T98Y-54,6.017.437,1003.91
497,2,FR-T98U-46,6.017.437,1003.91
498,2,FR-T98U-50,6.017.437,1003.91
499,2,FR-T98U-54,6.017.437,1003.91
500,2,FR-T98U-60,6.017.437,1003.91
502,2,FR-T67U-50,1.998.519,333.42
503,2,FR-T67U-54,1.998.519,333.42
504,2,FR-T67U-58,1.998.519,333.42
505,2,FR-T67U-62,1.998.519,333.42
506,2,FR-T67Y-44,1.998.519,333.42
507,2,FR-T67Y-50,1.998.519,333.42
508,2,FR-T67Y-54,1.998.519,333.42
509,2,FR-T67Y-58,1.998.519,333.42
510,2,FR-T67U-44,1.998.519,333.42
410,2,FW-M423,269.708,60.745
411,2,FW-M762,928.071,209.025
412,2,FW-M928,1.332.955,300.215
413,2,FW-R623,379.909,85.565
414,2,FW-R762,1.102.829,248.385
415,2,FW-R820,1.465.466,330.06
416,2,FW-T905,967.964,218.01
419,2,RW-M423,389.588,87.745
420,2,RW-M762,1.047.951,236.025
421,2,RW-M928,1.452.835,327.215
422,2,RW-R623,499.789,112.565
423,2,RW-R762,1.222.709,275.385
424,2,RW-R820,1.585.346,357.06
425,2,RW-T905,1.087.844,245.01
344,1,BK-M82S-38,19.121.544,3399.99
345,1,BK-M82S-42,19.121.544,3399.99
346,1,BK-M82S-44,19.121.544,3399.99
347,1,BK-M82S-48,19.121.544,3399.99
348,1,BK-M82B-38,18.980.944,3374.99
349,1,BK-M82B-42,18.980.944,3374.99
350,1,BK-M82B-44,18.980.944,3374.99
351,1,BK-M82B-48,18.980.944,3374.99
352,1,BK-M68S-38,11.178.559,20.714.196
354,1,BK-M68S-42,11.178.559,20.714.196
356,1,BK-M68S-46,11.178.559,20.714.196
358,1,BK-M68B-38,1105.81,20.490.982
360,1,BK-M68B-42,1105.81,20.490.982
362,1,BK-M68B-46,1105.81,20.490.982
364,1,BK-M47B-38,5.984.354,1079.99
365,1,BK-M47B-40,5.984.354,1079.99
366,1,BK-M47B-44,5.984.354,1079.99
367,1,BK-M47B-48,5.984.354,1079.99
587,1,BK-M38S-38,4.197.784,769.49
588,1,BK-M38S-40,4.197.784,769.49
589,1,BK-M38S-42,4.197.784,769.49
590,1,BK-M38S-46,4.197.784,769.49
591,1,BK-M18S-40,3.082.179,564.99
592,1,BK-M18S-42,3.082.179,564.99
593,1,BK-M18S-44,3.082.179,564.99
594,1,BK-M18S-48,3.082.179,564.99
595,1,BK-M18S-52,3.082.179,564.99
596,1,BK-M18B-40,2.945.797,539.99
597,1,BK-M18B-42,2.945.797,539.99
598,1,BK-M18B-44,2.945.797,539.99
599,1,BK-M18B-48,2.945.797,539.99
600,1,BK-M18B-52,2.945.797,539.99
310,1,BK-R93R-62,21.712.942,3578.27
311,1,BK-R93R-44,21.712.942,3578.27
312,1,BK-R93R-48,21.712.942,3578.27
313,1,BK-R93R-52,21.712.942,3578.27
314,1,BK-R93R-56,21.712.942,3578.27
315,1,BK-R68R-58,8.847.083,1457.99
316,1,BK-R68R-60,8.847.083,1457.99
317,1,BK-R68R-44,8.847.083,1457.99
318,1,BK-R68R-48,8.847.083,1457.99
319,1,BK-R68R-52,8.847.083,1457.99
320,1,BK-R50R-58,4.131.463,6.990.982
322,1,BK-R50R-60,4.131.463,6.990.982
324,1,BK-R50R-62,4.131.463,6.990.982
326,1,BK-R50R-44,4.131.463,6.990.982
328,1,BK-R50R-48,4.131.463,6.990.982
330,1,BK-R50R-52,4.131.463,6.990.982
332,1,BK-R50B-58,4.131.463,6.990.982
334,1,BK-R50B-60,4.131.463,6.990.982
336,1,BK-R50B-62,4.131.463,6.990.982
338,1,BK-R50B-44,4.131.463,6.990.982
340,1,BK-R50B-48,4.131.463,6.990.982
342,1,BK-R50B-52,4.131.463,6.990.982
368,1,BK-R89R-44,15.187.864,2443.35
369,1,BK-R89R-48,15.187.864,2443.35
370,1,BK-R89R-52,15.187.864,2443.35
371,1,BK-R89R-58,13.206.838,21.815.625
373,1,BK-R89B-44,13.206.838,21.815.625
375,1,BK-R89B-48,13.206.838,21.815.625
377,1,BK-R89B-52,13.206.838,21.815.625
379,1,BK-R89B-58,13.206.838,21.815.625
381,1,BK-R64Y-38,6.056.492,10.004.375
383,1,BK-R64Y-40,6.056.492,10.004.375
385,1,BK-R64Y-42,6.056.492,10.004.375
387,1,BK-R64Y-44,6.056.492,10.004.375
389,1,BK-R64Y-48,6.056.492,10.004.375
580,1,BK-R79Y-40,1082.51,1700.99
581,1,BK-R79Y-42,1082.51,1700.99
582,1,BK-R79Y-44,1082.51,1700.99
583,1,BK-R79Y-48,1082.51,1700.99
584,1,BK-R19B-58,3.436.496,539.99
604,1,BK-R19B-44,3.436.496,539.99
605,1,BK-R19B-48,3.436.496,539.99
606,1,BK-R19B-52,3.436.496,539.99
560,1,BK-T44U-60,7.551.508,1214.85
561,1,BK-T79Y-46,14.819.379,2384.07
562,1,BK-T79Y-50,14.819.379,2384.07
563,1,BK-T79Y-54,14.819.379,2384.07
564,1,BK-T79Y-60,14.819.379,2384.07
565,1,BK-T18U-54,4.614.448,742.35
566,1,BK-T18U-58,4.614.448,742.35
567,1,BK-T18U-62,4.614.448,742.35
568,1,BK-T18Y-44,4.614.448,742.35
569,1,BK-T18Y-50,4.614.448,742.35
570,1,BK-T18Y-54,4.614.448,742.35
571,1,BK-T18Y-58,4.614.448,742.35
572,1,BK-T18Y-62,4.614.448,742.35
573,1,BK-T79U-46,14.819.379,2384.07
574,1,BK-T79U-50,14.819.379,2384.07
575,1,BK-T79U-54,14.819.379,2384.07
576,1,BK-T79U-60,14.819.379,2384.07
577,1,BK-T44U-46,7.551.508,1214.85
578,1,BK-T44U-50,7.551.508,1214.85
579,1,BK-T44U-54,7.551.508,1214.85
585,1,BK-T18U-44,4.614.448,742.35
586,1,BK-T18U-50,4.614.448,742.35
